City,State,Country,Lat,Lng
Abilene,TX,USA,32.4545,-99.738973
Abingdon,VA,USA,36.708874,-81.969282
Adams,OK,USA,36.7564149,-101.0771061
Adelanto,CA,USA,34.569658,-117.436906
Akron,OH,USA,41.0804,-81.521499
Albany,GA,USA,31.5778,-84.175624
Albany,NY,USA,42.66575,-73.799017
Albert Lea,MN,USA,43.65505,-93.366569
Albuquerque,NM,USA,35.117218,-106.624636
Alice,TX,USA,27.755238,-98.065489
Altoona,PA,USA,40.50785,-78.401285
Amarillo,TX,USA,35.20255,-101.818682
Anaheim,CA,USA,33.8389,-117.872331
Annapolis,MD,USA,38.97165,-76.503033
Appleton,WI,USA,44.266333,-88.396278
Arcadia,MI,USA,44.4930555,-86.2317586
Arlington,VA,USA,38.878726,-77.101909
Asheville,NC,USA,35.574123,-82.548826
Ashland,KY,USA,38.459192,-82.644921
Athens,GA,USA,33.9553,-83.393701
Atlanta,GA,USA,33.7629,-84.422592
Atlantic City,NJ,USA,39.3776,-74.451443
Auburn,IN,USA,41.363316,-85.057625
Augusta,GA,USA,33.45735,-81.994991
Austin,TX,USA,30.30588,-97.750522
Bakersfield,CA,USA,35.3577,-119.004553
Baltimore,MD,USA,39.3008,-76.610616
Bangor,ME,USA,44.832203,-68.78755
Baton Rouge,LA,USA,30.448967,-91.126043
Beaumont,TX,USA,30.087767,-94.144463
Beckley,WV,USA,37.78748,-81.185849
Billings,MT,USA,45.791401,-108.538543
Biloxi,MS,USA,30.415767,-88.931918
Binghamton,NY,USA,42.10155,-75.909518
Birmingham,AL,USA,33.527746,-86.799223
Bismarck,ND,USA,46.805467,-100.767298
Blacksburg,VA,USA,37.232748,-80.428414
Blaine,WA,USA,48.989123,-122.758148
Bloomington,IL,USA,40.47895,-88.973549
Bluefield,WV,USA,37.260462,-81.218682
Blythe,CA,USA,33.609383,-114.590083
Bohemia,NY,USA,40.774,-73.121315
Boise,ID,USA,43.606651,-116.2261
Boone,CO,USA,38.250072,-104.255768
Boston,MA,USA,42.336029,-71.017892
Bowling Green,KY,USA,36.973703,-86.441242
Bowling Green,OH,USA,41.37645,-83.649462
Bozeman,MT,USA,45.676908,-111.042474
Brewton,AL,USA,31.114611,-87.072837
Bridgeport,CT,USA,41.186316,-73.196209
Bridgeton,MO,USA,38.7663,-90.426548
Brigham City,UT,USA,41.509064,-112.009589
Brownsville,TX,USA,25.9251,-97.482049
Bryan,TX,USA,30.66855,-96.365206
Buffalo,NY,USA,42.8898,-78.859684
Burbank,CA,USA,34.191317,-118.325713
Burlington,VT,USA,44.488093,-73.226177
Calexico,CA,USA,32.678473,-115.500754
Camden,NJ,USA,39.93595,-75.108416
Canton,OH,USA,40.8122,-81.373265
Casper,WY,USA,42.8326,-106.32934
Cedar Knolls,NJ,USA,40.8220442,-74.448765
Cedar Rapids,IA,USA,41.972967,-91.669578
Champaign,IL,USA,40.113,-88.264949
Charleston,SC,USA,32.78525,-79.994024
Charleston,WV,USA,38.35055,-81.630439
Charlotte,NC,USA,35.19755,-80.834514
Charlottesville,VA,USA,38.03745,-78.485745
Chattanooga,TN,USA,35.066209,-85.256956
Cheraw,SC,USA,34.696417,-79.895301
Cheyenne,WY,USA,41.14545,-104.792349
Chicago,IL,USA,41.83705,-87.684965
Chico,CA,USA,39.753803,-121.806931
Chillicothe,OH,USA,39.335575,-82.988068
Cincinnati,OH,USA,39.139801,-84.505957
Clarksburg,WV,USA,39.280394,-80.331821
Clarkston,WA,USA,46.415491,-117.049047
Clemson,SC,USA,34.684019,-82.812853
Cleveland,OH,USA,41.4797,-81.678511
Clinton,IA,USA,41.843216,-90.232994
Cocoa,FL,USA,28.377001,-80.750173
Coeur d'Alene,ID,USA,47.697788,-116.784816
Colorado Springs,CO,USA,38.8632,-104.759899
Columbia,MO,USA,38.9541,-92.326696
Columbia,SC,USA,34.039236,-80.886341
Columbus,GA,USA,32.51071,-84.874972
Columbus,OH,USA,39.988933,-82.987381
Corpus Christi,TX,USA,27.705728,-97.292827
Cortland,NY,USA,42.600908,-76.179404
Corvallis,OR,USA,44.571006,-123.276033
Culpeper,VA,USA,38.471018,-78.001075
Dallas,TX,USA,32.794151,-96.765249
Dalton,GA,USA,34.769008,-84.975906
Danville,KY,USA,37.642119,-84.772076
Davenport,IA,USA,41.55675,-90.604224
Dayton,OH,USA,39.779067,-84.197357
