City,State,Country,Lat,Lng
Albany,NY,USA,42.66575,-73.799017
Albuquerque,NM,USA,35.117218,-106.624636
Amarillo,TX,USA,35.20255,-101.818682
Atlanta,GA,USA,33.7629,-84.422592
Augusta,GA,USA,33.45735,-81.994991
Austin,TX,USA,30.30588,-97.750522
Baltimore,MD,USA,39.3008,-76.610616
Baton Rouge,LA,USA,30.448967,-91.126043
Boise,ID,USA,43.606651,-116.2261
Boston,MA,USA,42.336029,-71.017892
Broomfield,CO,USA,39.944,-105.061654
Buffalo,NY,USA,42.8898,-78.859684
Charleston,SC,USA,32.78525,-79.994024
Charlotte,NC,USA,35.19755,-80.834514
Cheyenne,WY,USA,41.14545,-104.792349
Chicago,IL,USA,41.83705,-87.684965
Cincinnati,OH,USA,39.139801,-84.505957
Cleveland,OH,USA,41.4797,-81.678511
Colorado Springs,CO,USA,38.8632,-104.759899
Columbia,SC,USA,34.039236,-80.886341
Columbus,OH,USA,39.988933,-82.987381
Dallas,TX,USA,32.794151,-96.765249
Dayton,OH,USA,39.779067,-84.197357
Daytona Beach,FL,USA,29.192243,-81.052688
Denver,CO,USA,39.768035,-104.872655
Des Moines,IA,USA,41.576738,-93.617405
Detroit,MI,USA,42.3831,-83.102198
El Paso,TX,USA,31.84925,-106.437549
Erie,PA,USA,42.12585,-80.086596
Fort Myers,FL,USA,26.63065,-81.850571
Fort Worth,TX,USA,32.753901,-97.336249
Gainesville,FL,USA,29.67415,-82.336277
Garden City village,NY,USA,40.7259,-73.644548
Grand Junction,CO,USA,39.0873,-108.552924
Grand Rapids,MI,USA,42.96125,-85.655727
Green Bay,WI,USA,44.5216,-87.98975
Greensboro,NC,USA,36.0789,-79.826888
Hartford,CT,USA,41.7657,-72.683866
Houston,TX,USA,29.7687,-95.386728
Indianapolis,IN,USA,39.7764,-86.146196
Jacksonville,FL,USA,30.33455,-81.657692
Kalamazoo,MI,USA,42.2747,-85.588287
Kansas City,MO,USA,39.122312,-94.552009
Lansing,MI,USA,42.7091,-84.553996
Las Vegas,NV,USA,36.20575,-115.222799
Little Rock,AR,USA,34.7224,-92.354076
Los Angeles,CA,USA,34.112101,-118.411201
Louisville,KY,USA,38.22475,-85.741156
Madison,WI,USA,43.0798,-89.387519
Memphis,TN,USA,35.1056,-90.006991
Miami,FL,USA,25.775667,-80.210845
Milwaukee,WI,USA,43.06335,-87.966623
Minneapolis,MN,USA,44.96185,-93.266849
Mobile,AL,USA,30.67745,-88.088959
Nashville,TN,USA,36.17155,-86.784829
New Orleans,LA,USA,30.065846,-89.931355
New York,NY,USA,40.6698,-73.943849
Newark,NJ,USA,40.7241,-74.173245
Oakland,CA,USA,37.771544,-122.22455
Ocala,FL,USA,29.18745,-82.130799
Ogden,UT,USA,41.2279,-111.965818
Oklahoma City,OK,USA,35.46705,-97.513491
Omaha,NE,USA,41.2639,-96.011745
Orlando,FL,USA,28.504748,-81.374248
Pensacola,FL,USA,30.444741,-87.189537
Philadelphia,PA,USA,40.006817,-75.134678
Phoenix,AZ,USA,33.54255,-112.071399
Pittsburgh,PA,USA,40.439207,-79.976702
Portland,OR,USA,45.53825,-122.656496
Raleigh,NC,USA,35.82195,-78.658753
Richmond,VA,USA,37.53105,-77.474584
Rochester,NY,USA,43.168651,-77.615838
Sacramento,CA,USA,38.56685,-121.46736
Salt Lake City,UT,USA,40.777267,-111.929921
San Antonio,TX,USA,29.45765,-98.505355
San Diego,CA,USA,32.81495,-117.13577
San Francisco,CA,USA,37.79325,-122.554783
San Jose,CA,USA,37.304,-121.849783
San Luis Obispo,CA,USA,35.272866,-120.66481
Savannah,GA,USA,32.024357,-81.131648
Seattle,WA,USA,47.6218,-122.350326
South Bend,IN,USA,41.6753,-86.265699
South Burlington,VT,USA,44.445633,-73.216149
Springfield,IL,USA,39.781433,-89.644654
St. Louis,MO,USA,38.636050,-90.244299
Stamford,CT,USA,41.096733,-73.552688
Syracuse,NY,USA,43.041059,-76.144067
Tallahassee,FL,USA,30.457,-84.281399
Tampa,FL,USA,27.959,-82.48212
Toledo,OH,USA,41.66395,-83.581649
Tucson,AZ,USA,32.195816,-110.891717
Tulsa,OK,USA,36.12775,-95.916407
Tustin,CA,USA,33.730005,-117.811099
Waco,TX,USA,31.56895,-97.183198
Washington,DC,USA,38.90505,-77.016167
Weehawken,NJ,USA,40.768681,-74.018858
West Palm Beach,FL,USA,26.7477,-80.126226
White Plains,NY,USA,41.02085,-73.757422
Wilmington,NC,USA,34.21245,-77.911299
