City,State,Country,Lat,Lng
Abilene,TX,USA,32.4545,-99.738973
Adelanto,CA,USA,34.569658,-117.436906
Akron,OH,USA,41.0804,-81.521499
Albany,NY,USA,42.66575,-73.799017
Albuquerque,NM,USA,35.117218,-106.624636
Allentown,PA,USA,40.596333,-75.477665
Amarillo,TX,USA,35.20255,-101.818682
Anaheim,CA,USA,33.8389,-117.872331
Annapolis,MD,USA,38.97165,-76.503033
Appleton,WI,USA,44.266333,-88.396278
Ashburn,VA,USA,39.041408,-77.481018
Asheville,NC,USA,35.574123,-82.548826
Ashland,KY,USA,38.459192,-82.644921
Atlanta,GA,USA,33.7629,-84.422592
Atlantic City,NJ,USA,39.3776,-74.451443
Atmore,AL,USA,31.021694,-87.495438
Auburn,IN,USA,41.363316,-85.057625
Augusta,GA,USA,33.45735,-81.994991
Austin,TX,USA,30.30588,-97.750522
Bakersfield,CA,USA,35.3577,-119.004553
Baltimore,MD,USA,39.3008,-76.610616
Bandon,OR,USA,43.115869,-124.414636
Baton Rouge,LA,USA,30.448967,-91.126043
Beaumont,TX,USA,30.087767,-94.144463
Beckley,WV,USA,37.78748,-81.185849
Billings,MT,USA,45.791401,-108.538543
Biloxi,MS,USA,30.415767,-88.931918
Binghamton,NY,USA,42.10155,-75.909518
Birmingham,AL,USA,33.527746,-86.799223
Bismarck,ND,USA,46.805467,-100.767298
Blaine,WA,USA,48.989123,-122.758148
Bloomington,IL,USA,40.47895,-88.973549
Bloomington,IN,USA,39.16655,-86.521523
Boston,MA,USA,42.336029,-71.017892
Bowie,TX,USA,33.55911,-97.84475
Bowling Green,OH,USA,41.37645,-83.649462
Bozeman,MT,USA,45.676908,-111.042474
Brentwood,NY,USA,40.781352,-73.248451
Bryan,TX,USA,30.66855,-96.365206
Buffalo,NY,USA,42.8898,-78.859684
Burbank,CA,USA,34.191317,-118.325713
Burlington,VT,USA,44.488093,-73.226177
Camden,NJ,USA,39.93595,-75.108416
Carlsbad,CA,USA,33.123826,-117.285865
Cedar Rapids,IA,USA,41.972967,-91.669578
Champaign,IL,USA,40.113,-88.264949
Charleston,SC,USA,32.78525,-79.994024
Charleston,WV,USA,38.35055,-81.630439
Charlotte,NC,USA,35.19755,-80.834514
Charlottesville,VA,USA,38.03745,-78.485745
Cheraw,SC,USA,34.696417,-79.895301
Cheyenne,WY,USA,41.14545,-104.792349
Chicago,IL,USA,41.83705,-87.684965
Chico,CA,USA,39.753803,-121.806931
Chillicothe,OH,USA,39.335575,-82.988068
Chipley,FL,USA,30.776124,-85.541475
Cincinnati,OH,USA,39.139801,-84.505957
Cleveland,OH,USA,41.4797,-81.678511
Clinton,IA,USA,41.843216,-90.232994
Cocoa,FL,USA,28.377001,-80.750173
Coeur d'Alene,ID,USA,47.697788,-116.784816
Colorado Springs,CO,USA,38.8632,-104.759899
Columbia,MO,USA,38.9541,-92.326696
Columbia,SC,USA,34.039236,-80.886341
Columbus,OH,USA,39.988933,-82.987381
Corpus Christi,TX,USA,27.705728,-97.292827
Dallas,TX,USA,32.794151,-96.765249
Dayton,OH,USA,39.779067,-84.197357
Daytona Beach,FL,USA,29.192243,-81.052688
DeKalb,IL,USA,41.930629,-88.75191
Denver,CO,USA,39.768035,-104.872655
Des Moines,IA,USA,41.576738,-93.617405
Detroit,MI,USA,42.3831,-83.102198
Dickinson,ND,USA,46.886113,-102.782719
Dunkirk,NY,USA,42.565406,-79.324134
Eau Claire,WI,USA,44.82115,-91.492274
El Paso,TX,USA,31.84925,-106.437549
Elko,NV,USA,40.838712,-115.760661
Erie,PA,USA,42.12585,-80.086596
Eugene,OR,USA,44.053,-123.112172
Evansville,IN,USA,37.98415,-87.543299
Everett,WA,USA,47.963257,-122.19859
Fairfax,SC,USA,32.9591,-81.236348
Fargo,ND,USA,46.876633,-96.817112
Fayetteville,NC,USA,35.07165,-78.89924
Flint,MI,USA,43.02285,-83.692799
Fort Myers,FL,USA,26.63065,-81.850571
Fort Pierce,FL,USA,27.44125,-80.322034
Fort Smith,AR,USA,35.36785,-94.384737
Fort Worth,TX,USA,32.753901,-97.336249
Franklinton,NC,USA,36.103642,-78.456609
Fredericksburg,VA,USA,38.299252,-77.487129
Fresno,CA,USA,36.7806,-119.792874
Gainesville,FL,USA,29.67415,-82.336277
Grand Island,NE,USA,40.921832,-98.365852
Grand Rapids,MI,USA,42.96125,-85.655727
